,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0,team_name
278,AD Russell,2012-2013,7,4,-,58,31,14.50,145.00,-,-,-, Delhi Capitals
279,SE Rutherford,2019-2019,7,7,2,73,28*,14.60,135.18,-,-,-, Delhi Capitals
280,C Sakariya,2022-2023,5,2,1,4,4,4.00,66.66,-,-,-, Delhi Capitals
281,PD Salt,2023-2023,9,9,1,218,87,27.25,163.90,-,2,2, Delhi Capitals
282,AM Salvi,2009-2011,7,-,-,-,-,0.00,0.00,-,-,-, Delhi Capitals
283,DR Sams,2020-2020,3,1,-,-,-,0.00,0.00,-,-,1, Delhi Capitals
284,SV Samson,2016-2017,28,28,3,677,102,27.08,127.25,1,3,2, Delhi Capitals
285,MN Samuels,2017-2017,5,4,-,29,27,7.25,93.54,-,-,1, Delhi Capitals
286,GS Sandhu,2015-2015,3,-,-,-,-,0.00,0.00,-,-,-, Delhi Capitals
287,PJ Sangwan,2008-2010,28,9,5,18,6*,4.50,62.06,-,-,2, Delhi Capitals
288,V Sehwag,2008-2013,79,79,5,2174,119,29.37,160.32,1,15,6, Delhi Capitals
289,TL Seifert,2022-2022,2,2,-,24,21,12.00,126.31,-,-,-, Delhi Capitals
290,V Shankar,2018-2018,13,11,7,212,54*,53.00,143.24,-,1,-, Delhi Capitals
291,I Sharma,2019-2024,34,6,6,12,10*,0.00,109.09,-,-,-, Delhi Capitals
292,MM Sharma,2020-2020,1,-,-,-,-,0.00,0.00,-,-,-, Delhi Capitals
293,R Sharma,2014-2014,2,-,-,-,-,0.00,0.00,-,-,-, Delhi Capitals
294,PP Shaw,2018-2024,79,79,-,1892,99,23.94,147.46,-,14,7, Delhi Capitals
295,Shoaib Malik,2008-2008,7,5,1,52,24,13.00,110.63,-,-,-, Delhi Capitals
296,LR Shukla,2014-2014,5,3,-,31,21,10.33,81.57,-,-,1, Delhi Capitals
297,R Shukla,2014-2014,3,3,2,18,14,18.00,85.71,-,-,-, Delhi Capitals
298,SPD Smith,2021-2021,8,7,1,152,39,25.33,112.59,-,-,-, Delhi Capitals
299,S Sriram,2011-2011,1,1,-,4,4,4.00,57.14,-,-,-, Delhi Capitals
300,MP Stoinis,2020-2021,27,24,6,441,65,24.50,142.71,-,3,2, Delhi Capitals
301,T Stubbs,2024-2024,14,13,6,378,71*,54.00,190.90,-,3,1, Delhi Capitals
302,J Suchith,2019-2019,1,1,-,6,6,6.00,40.00,-,-,-, Delhi Capitals
303,Sumit Kumar,2024-2024,4,3,1,18,9*,9.00,75.00,-,-,-, Delhi Capitals
304,AP Tare,2017-2017,3,3,-,18,18,6.00,78.26,-,-,2, Delhi Capitals
305,LRPL Taylor,2012-2014,16,16,3,256,55,19.69,111.30,-,1,1, Delhi Capitals
306,R Tewatia,2018-2019,13,9,5,76,24,19.00,116.92,-,-,-, Delhi Capitals
307,SN Thakur,2022-2022,14,10,2,120,29*,15.00,137.93,-,-,-, Delhi Capitals
308,MK Tiwary,2008-2015,24,19,7,322,61*,26.83,118.38,-,1,2, Delhi Capitals
309,SS Tiwary,2015-2015,7,6,6,109,28*,0.00,139.74,-,-,-, Delhi Capitals
310,JD Unadkat,2014-2015,10,2,1,1,1*,1.00,16.66,-,-,1, Delhi Capitals
311,RE van der Merwe,2011-2013,10,6,4,36,14,18.00,87.80,-,-,-, Delhi Capitals
312,Y Venugopal Rao,2011-2013,25,21,3,468,60,26.00,115.27,-,1,-, Delhi Capitals
313,DL Vettori,2008-2010,12,7,4,67,29,22.33,113.55,-,-,-, Delhi Capitals
314,GH Vihari,2019-2019,2,2,-,4,2,2.00,50.00,-,-,-, Delhi Capitals
315,M Vijay,2014-2014,11,11,-,207,52,18.81,107.81,-,1,1, Delhi Capitals
316,MS Wade,2011-2011,3,3,-,22,11,7.33,66.66,-,-,-, Delhi Capitals
317,DA Warner,2009-2024,89,89,8,2551,109*,31.49,135.54,2,22,8, Delhi Capitals
318,LB Williams,2024-2024,2,1,1,1,1*,0.00,50.00,-,-,-, Delhi Capitals
319,CR Woakes,2021-2021,3,1,1,15,15*,0.00,136.36,-,-,-, Delhi Capitals
320,J Yadav,2015-2017,10,2,-,6,5,3.00,60.00,-,-,-, Delhi Capitals
321,Lalit Yadav,2021-2024,27,21,5,305,48*,19.06,105.17,-,-,1, Delhi Capitals
322,UT Yadav,2010-2013,47,14,10,44,12*,11.00,81.48,-,-,2, Delhi Capitals
323,Yuvraj Singh,2015-2015,14,13,-,248,57,19.07,118.09,-,2,1, Delhi Capitals
324,S Ladda,2016-2016,1,-,-,-,-,0.00,0.00,-,-,-, Gujarat Lions
325,AD Nath,2016-2017,5,4,-,20,12,5.00,71.42,-,-,1, Gujarat Lions
326,SS Agarwal,2017-2017,1,-,-,-,-,0.00,0.00,-,-,-, Gujarat Lions
327,Ankit Soni,2017-2017,7,3,1,7,7*,3.50,77.77,-,-,2, Gujarat Lions
328,Basil Thampi,2017-2017,12,5,5,28,13*,0.00,100.00,-,-,-, Gujarat Lions
329,DJ Bravo,2016-2016,15,13,5,99,22*,12.37,120.73,-,-,1, Gujarat Lions
330,ER Dwivedi,2016-2016,4,2,-,24,19,12.00,171.42,-,-,-, Gujarat Lions
331,JP Faulkner,2016-2017,15,11,4,131,32,18.71,112.93,-,-,-, Gujarat Lions
332,AJ Finch,2016-2017,26,25,3,692,74,31.45,144.46,-,7,3, Gujarat Lions
333,MS Gony,2017-2017,1,-,-,-,-,0.00,0.00,-,-,-, Gujarat Lions
334,Ishan Kishan,2016-2017,16,15,-,319,61,21.26,129.14,-,1,1, Gujarat Lions
335,RA Jadeja,2016-2017,27,25,12,349,36*,26.84,120.34,-,-,1, Gujarat Lions
336,SB Jakati,2016-2017,8,1,1,1,1*,0.00,50.00,-,-,-, Gujarat Lions
337,KD Karthik,2016-2017,30,28,5,696,65,30.26,132.57,-,5,2, Gujarat Lions
338,S Kaushik,2016-2017,10,2,1,-,0*,0.00,0.00,-,-,1, Gujarat Lions
339,DS Kulkarni,2016-2017,20,6,3,28,10,9.33,155.55,-,-,-, Gujarat Lions
340,P Kumar,2016-2017,22,9,4,32,15,6.40,91.42,-,-,1, Gujarat Lions
341,BB McCullum,2016-2017,27,27,-,673,72,24.92,140.50,-,3,1, Gujarat Lions
342,MM Patel,2017-2017,2,1,-,-,-,0.00,0.00,-,-,1, Gujarat Lions
343,IK Pathan,2017-2017,1,1,-,2,2,2.00,66.66,-,-,-, Gujarat Lions
344,SK Raina,2016-2017,29,29,4,841,84,33.64,135.86,-,6,-, Gujarat Lions
345,JJ Roy,2017-2017,3,3,1,59,31,29.50,147.50,-,-,-, Gujarat Lions
346,PJ Sangwan,2016-2017,7,3,1,2,1*,1.00,50.00,-,-,1, Gujarat Lions
347,NB Singh,2017-2017,2,-,-,-,-,0.00,0.00,-,-,-, Gujarat Lions
348,DR Smith,2016-2017,24,24,2,563,74,25.59,149.33,-,5,3, Gujarat Lions
349,DW Steyn,2016-2016,1,1,-,1,1,1.00,50.00,-,-,-, Gujarat Lions
350,PV Tambe,2016-2016,7,1,1,7,7*,0.00,36.84,-,-,-, Gujarat Lions
351,Tejas Baroka,2017-2017,1,-,-,-,-,0.00,0.00,-,-,-, Gujarat Lions
352,AJ Tye,2017-2017,6,3,1,53,25,26.50,176.66,-,-,-, Gujarat Lions
353,VR Aaron,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-, Gujarat Titans
354,Azmatullah Omarzai,2024-2024,7,4,-,42,17,10.50,127.27,-,-,-, Gujarat Titans
355,LH Ferguson,2022-2022,13,3,1,5,5,2.50,125.00,-,-,1, Gujarat Titans
356,SH Johnson,2024-2024,5,3,3,6,5*,0.00,85.71,-,-,-, Gujarat Titans
357,AS Joseph,2022-2023,16,5,4,12,7*,12.00,63.15,-,-,1, Gujarat Titans
358,Kartik Tyagi,2024-2024,1,-,-,-,-,0.00,0.00,-,-,-, Gujarat Titans
359,JB Little,2023-2024,11,-,-,-,-,0.00,0.00,-,-,-, Gujarat Titans
360,A Manohar,2022-2024,19,15,1,231,43,16.50,132.75,-,-,1, Gujarat Titans
361,DA Miller,2022-2024,41,38,17,950,94*,45.23,145.25,-,3,1, Gujarat Titans
362,Mohammed Shami,2022-2023,33,2,-,5,5,2.50,83.33,-,-,1, Gujarat Titans
363,DG Nalkande,2022-2024,6,2,-,12,12,6.00,100.00,-,-,1, Gujarat Titans
364,Noor Ahmad,2023-2024,23,7,3,13,7*,3.25,72.22,-,-,1, Gujarat Titans
365,HH Pandya,2022-2023,31,30,8,833,87*,37.86,133.49,-,6,-, Gujarat Titans
366,Rashid Khan,2022-2024,45,25,12,323,79*,24.84,184.57,-,1,6, Gujarat Titans
367,WP Saha,2022-2024,37,37,2,824,81,23.54,124.65,-,5,3, Gujarat Titans
368,B Sai Sudharsan,2022-2024,25,25,3,1034,103,47.00,139.16,1,6,-, Gujarat Titans
369,R Sai Kishore,2022-2024,10,2,1,13,13,13.00,216.66,-,-,-, Gujarat Titans
370,S Sandeep Warrier,2024-2024,5,-,-,-,-,0.00,0.00,-,-,-, Gujarat Titans
371,PJ Sangwan,2022-2022,3,1,-,2,2,2.00,40.00,-,-,-, Gujarat Titans
372,M Shahrukh Khan,2024-2024,7,7,-,127,58,18.14,169.33,-,1,1, Gujarat Titans
373,MD Shanaka,2023-2023,3,3,1,26,17,13.00,100.00,-,-,1, Gujarat Titans
374,V Shankar,2022-2024,25,21,4,403,63*,23.70,136.61,-,3,1, Gujarat Titans
375,BR Sharath,2024-2024,1,1,-,2,2,2.00,40.00,-,-,-, Gujarat Titans
376,MM Sharma,2023-2024,26,4,2,2,2,1.00,12.50,-,-,1, Gujarat Titans
377,Shubman Gill,2022-2024,45,45,5,1799,129,44.97,147.70,4,10,3, Gujarat Titans
378,MJ Suthar,2024-2024,1,1,-,1,1,1.00,50.00,-,-,-, Gujarat Titans
379,R Tewatia,2022-2024,45,31,13,492,43*,27.33,147.74,-,-,-, Gujarat Titans
380,MS Wade,2022-2024,12,11,-,161,35,14.63,111.80,-,-,-, Gujarat Titans
381,KS Williamson,2023-2024,3,2,-,27,26,13.50,100.00,-,-,-, Gujarat Titans
382,J Yadav,2023-2023,1,-,-,-,-,0.00,0.00,-,-,-, Gujarat Titans
383,UT Yadav,2024-2024,7,2,1,12,10*,12.00,80.00,-,-,-, Gujarat Titans
384,Yash Dayal,2022-2023,14,1,-,-,-,0.00,0.00,-,-,1, Gujarat Titans
385,VR Aaron,2017-2017,6,2,1,4,4,4.00,40.00,-,-,-, Punjab Kings
386,KJ Abbott,2016-2016,5,3,2,13,12*,13.00,162.50,-,-,1, Punjab Kings
387,YA Abdulla,2009-2010,11,1,1,-,0*,0.00,0.00,-,-,-, Punjab Kings
388,L Ablish,2010-2011,3,1,1,-,0*,0.00,0.00,-,-,-, Punjab Kings
389,AD Nath,2018-2018,1,1,-,9,9,9.00,69.23,-,-,-, Punjab Kings
390,MA Agarwal,2018-2022,60,59,2,1513,106,26.54,141.00,1,9,4, Punjab Kings
391,FA Allen,2021-2021,4,3,2,6,6,6.00,50.00,-,-,-, Punjab Kings
392,HM Amla,2016-2017,16,16,3,577,104*,44.38,141.76,2,3,2, Punjab Kings
393,Anureet Singh,2015-2017,17,7,3,33,15,8.25,76.74,-,-,2, Punjab Kings
394,VG Arora,2022-2022,5,4,2,5,2*,2.50,38.46,-,-,1, Punjab Kings
395,Arshdeep Singh,2019-2024,65,12,7,29,10*,5.80,72.50,-,-,3, Punjab Kings
396,M Ashwin,2019-2021,22,6,2,22,9,5.50,66.66,-,-,-, Punjab Kings
397,R Ashwin,2018-2019,28,15,2,144,45,11.07,145.45,-,-,5, Punjab Kings
398,P Awana,2012-2014,33,7,5,5,4*,2.50,35.71,-,-,2, Punjab Kings
399,Azhar Mahmood,2012-2013,22,20,2,382,80,21.22,129.05,-,2,2, Punjab Kings
400,GJ Bailey,2014-2015,30,29,9,516,61*,25.80,135.78,-,2,-, Punjab Kings
401,JM Bairstow,2022-2024,22,22,1,551,108*,26.23,148.91,1,2,1, Punjab Kings
402,L Balaji,2014-2014,9,2,1,1,1*,1.00,33.33,-,-,1, Punjab Kings
403,AB Barath,2010-2010,3,3,1,42,33,21.00,100.00,-,-,-, Punjab Kings
404,RA Bawa,2022-2022,2,2,-,11,11,5.50,78.57,-,-,1, Punjab Kings
405,F Behardien,2016-2016,3,3,1,14,9*,7.00,107.69,-,-,1, Punjab Kings
406,BA Bhatt,2011-2013,17,2,1,6,6*,6.00,85.71,-,-,1, Punjab Kings
407,Bipul Sharma,2010-2013,15,9,5,104,35*,26.00,144.44,-,-,-, Punjab Kings
408,MS Bisla,2010-2010,10,10,-,218,75,21.80,122.47,-,1,1, Punjab Kings
409,RS Bopara,2009-2010,15,14,1,386,84,29.69,115.91,-,3,1, Punjab Kings
410,RR Bose,2009-2009,1,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
411,KC Cariappa,2016-2017,9,4,1,15,12*,5.00,83.33,-,-,-, Punjab Kings
412,RD Chahar,2022-2024,36,13,4,98,25*,10.88,106.52,-,-,4, Punjab Kings
413,PP Chawla,2008-2013,87,52,21,401,24*,12.93,112.95,-,-,7, Punjab Kings
414,SD Chitnis,2011-2012,7,5,1,75,38,18.75,105.63,-,-,-, Punjab Kings
415,SS Cottrell,2020-2020,6,1,-,-,-,0.00,0.00,-,-,1, Punjab Kings
416,SM Curran,2019-2024,36,33,9,641,63*,26.70,134.38,-,4,2, Punjab Kings
417,P Dharmani,2008-2008,1,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
418,R Dhawan,2014-2024,33,20,12,189,25*,23.62,113.85,-,-,-, Punjab Kings
419,S Dhawan,2022-2024,30,30,4,985,99*,37.88,130.11,-,7,1, Punjab Kings
420,P Dogra,2012-2012,3,3,1,15,6,7.50,62.50,-,-,-, Punjab Kings
421,NT Ellis,2021-2024,16,5,1,19,12,4.75,76.00,-,-,2, Punjab Kings
422,JP Faulkner,2012-2012,2,2,1,14,11*,14.00,107.69,-,-,-, Punjab Kings
423,AJ Finch,2018-2018,10,9,1,134,46,16.75,134.00,-,-,2, Punjab Kings
424,Gagandeep Singh,2008-2008,4,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
425,CH Gayle,2018-2021,41,41,4,1339,104*,36.18,143.20,1,10,2, Punjab Kings
426,AC Gilchrist,2011-2013,34,34,3,849,106,27.38,127.28,1,4,3, Punjab Kings
427,K Goel,2008-2010,22,17,2,218,38,14.53,94.37,-,-,2, Punjab Kings
428,MS Gony,2013-2013,8,5,1,45,42,11.25,180.00,-,-,2, Punjab Kings
429,K Gowtham,2020-2020,2,2,1,42,22*,42.00,155.55,-,-,-, Punjab Kings
430,MJ Guptill,2017-2017,7,7,1,132,50*,22.00,150.00,-,1,1, Punjab Kings
431,Gurkeerat Singh,2012-2017,30,24,3,342,51,16.28,125.73,-,1,4, Punjab Kings
432,Gurnoor Brar,2023-2023,1,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
433,Harmeet Singh,2012-2013,10,3,1,18,14,9.00,163.63,-,-,-, Punjab Kings
434,Harpreet Brar,2019-2024,41,24,13,233,29,21.18,122.63,-,-,1, Punjab Kings
435,Harpreet Singh,2023-2024,5,5,-,103,41,20.60,110.75,-,-,-, Punjab Kings
436,RJ Harris,2011-2013,21,11,4,51,17,7.28,92.72,-,-,2, Punjab Kings
437,BE Hendricks,2014-2015,7,3,2,1,1*,1.00,33.33,-,-,1, Punjab Kings
438,MC Henriques,2021-2021,5,4,2,31,14,15.50,96.87,-,-,-, Punjab Kings
439,MJ Henry,2017-2017,2,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
440,DJ Hooda,2020-2021,19,16,5,261,64,23.72,134.53,-,2,2, Punjab Kings
441,JR Hopes,2008-2008,11,11,-,221,71,20.09,149.32,-,2,1, Punjab Kings
442,DJ Hussey,2011-2013,36,34,6,695,68*,24.82,120.45,-,2,1, Punjab Kings
443,DPMD Jayawardene,2008-2010,36,35,12,837,110*,36.39,140.90,1,2,1, Punjab Kings
444,MG Johnson,2014-2016,26,19,10,92,16*,10.22,92.00,-,-,2, Punjab Kings
445,CJ Jordan,2020-2021,13,7,2,61,30,12.20,117.30,-,-,-, Punjab Kings
446,M Kaif,2010-2010,4,3,-,28,14,9.33,93.33,-,-,-, Punjab Kings
447,Karanveer Singh,2014-2015,9,4,3,12,5*,12.00,70.58,-,-,-, Punjab Kings
448,KD Karthik,2011-2011,14,13,2,282,69,25.63,128.18,-,1,1, Punjab Kings
449,M Kartik,2014-2014,2,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
450,SM Katich,2008-2009,11,11,1,241,75,24.10,129.56,-,2,1, Punjab Kings
451,U Kaul,2008-2008,5,1,1,-,0*,0.00,0.00,-,-,-, Punjab Kings
452,V Kaverappa,2024-2024,1,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
453,SN Khan,2019-2021,15,10,2,213,67,26.62,121.02,-,1,2, Punjab Kings
454,T Kohli,2009-2009,2,2,1,1,1,1.00,25.00,-,-,-, Punjab Kings
455,P Kumar,2011-2013,44,21,9,109,24,9.08,109.00,-,-,3, Punjab Kings
456,B Lee,2008-2010,13,10,6,56,16*,14.00,100.00,-,-,1, Punjab Kings
457,LS Livingstone,2022-2024,30,30,5,827,94,33.08,169.12,-,6,1, Punjab Kings
458,R McLaren,2011-2011,6,4,1,90,51*,30.00,93.75,-,1,-, Punjab Kings
459,DJ Malan,2021-2021,1,1,-,26,26,26.00,100.00,-,-,-, Punjab Kings
460,VS Malik,2009-2011,9,1,-,6,6,6.00,120.00,-,-,-, Punjab Kings
461,Mandeep Singh,2011-2021,62,58,11,1073,77*,22.82,122.62,-,4,7, Punjab Kings
462,PN Mankad,2022-2022,1,1,1,4,4*,0.00,400.00,-,-,-, Punjab Kings
463,AK Markram,2021-2021,6,6,1,146,42,29.20,122.68,-,-,-, Punjab Kings
464,SE Marsh,2008-2017,71,69,7,2477,115,39.95,132.74,1,20,1, Punjab Kings
465,AD Mascarenhas,2012-2013,5,4,1,19,9,6.33,90.47,-,-,1, Punjab Kings
466,GJ Maxwell,2014-2020,65,62,9,1294,95,24.41,158.77,-,6,9, Punjab Kings
467,RP Meredith,2021-2021,5,1,1,-,0*,0.00,0.00,-,-,-, Punjab Kings
468,DA Miller,2012-2019,79,77,23,1850,101*,34.25,138.78,1,9,1, Punjab Kings
469,Mohammed Shami,2019-2021,42,9,6,16,9*,5.33,72.72,-,-,2, Punjab Kings
470,Mohit Rathee,2023-2023,1,1,1,1,1*,0.00,50.00,-,-,-, Punjab Kings
471,EJG Morgan,2017-2017,4,4,-,65,26,16.25,104.83,-,-,-, Punjab Kings
472,WA Mota,2008-2009,12,8,2,56,25,9.33,74.66,-,-,-, Punjab Kings
473,Mujeeb Ur Rahman,2018-2020,18,6,3,11,10*,3.66,78.57,-,-,2, Punjab Kings
474,NS Naik,2016-2016,2,2,-,23,22,11.50,74.19,-,-,-, Punjab Kings
475,KK Nair,2018-2020,18,16,1,322,54,21.46,133.60,-,2,1, Punjab Kings
476,T Natarajan,2017-2017,6,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
477,AM Nayar,2011-2012,14,13,3,106,24,10.60,91.37,-,-,2, Punjab Kings
478,JDS Neesham,2020-2020,5,3,1,19,10*,9.50,105.55,-,-,-, Punjab Kings
479,MG Neser,2013-2013,1,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
480,AR Patel,2014-2018,68,51,15,686,44,19.05,126.56,-,-,4, Punjab Kings
481,HV Patel,2024-2024,14,4,1,13,12,4.33,68.42,-,-,2, Punjab Kings
482,IK Pathan,2008-2010,42,35,11,603,60,25.12,131.08,-,1,1, Punjab Kings
483,NLTC Perera,2015-2015,2,2,-,12,9,6.00,80.00,-,-,-, Punjab Kings
484,LA Pomersbach,2008-2013,12,12,5,251,79*,35.85,121.25,-,1,-, Punjab Kings
485,N Pooran,2019-2021,33,31,4,606,77,22.44,154.98,-,2,5, Punjab Kings
486,IC Porel,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
487,RR Powar,2008-2012,22,7,5,56,28*,28.00,109.80,-,-,-, Punjab Kings
488,Prabhsimran Singh,2019-2024,34,34,-,756,103,22.23,146.22,1,3,3, Punjab Kings
489,CA Pujara,2014-2014,6,6,1,125,40*,25.00,100.80,-,-,-, Punjab Kings
490,K Rabada,2022-2024,30,13,6,68,25,9.71,115.25,-,-,1, Punjab Kings
491,KL Rahul,2018-2021,55,55,10,2548,132*,56.62,139.76,2,23,-, Punjab Kings
492,PBB Rajapaksa,2022-2023,13,13,1,277,50,23.08,145.02,-,1,1, Punjab Kings
493,AS Rajpoot,2018-2019,12,3,-,11,8,3.66,61.11,-,-,-, Punjab Kings
494,AU Rashid,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
495,Ravi Bishnoi,2020-2021,23,4,2,8,6*,4.00,50.00,-,-,-, Punjab Kings
496,JA Richardson,2021-2021,3,2,-,15,15,7.50,62.50,-,-,1, Punjab Kings
497,NJ Rimmington,2011-2011,1,1,1,1,1*,0.00,100.00,-,-,-, Punjab Kings
498,RR Rossouw,2024-2024,8,8,-,211,61,26.37,181.89,-,1,1, Punjab Kings
499,WP Saha,2014-2017,57,49,4,1115,115*,24.77,131.95,1,5,1, Punjab Kings
500,P Sahu,2016-2016,5,2,1,19,18*,19.00,146.15,-,-,-, Punjab Kings
501,N Saini,2012-2012,10,10,-,140,50,14.00,99.29,-,1,-, Punjab Kings
502,Sandeep Sharma,2013-2022,61,13,12,26,7,26.00,74.28,-,-,-, Punjab Kings
503,KC Sangakkara,2008-2010,37,34,2,1009,94,31.53,129.52,-,8,2, Punjab Kings
504,RR Sarwan,2008-2008,4,4,-,73,31,18.25,97.33,-,-,-, Punjab Kings
505,R Sathish,2013-2013,9,8,3,109,27*,21.80,141.55,-,-,1, Punjab Kings
506,Jalaj S Saxena,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
507,V Sehwag,2014-2015,25,25,-,554,122,22.16,138.84,1,1,1, Punjab Kings
508,M Shahrukh Khan,2021-2023,33,31,10,426,47,20.28,134.81,-,-,2, Punjab Kings
509,AR Sharma,2024-2024,11,9,2,189,61,27.00,167.25,-,1,-, Punjab Kings
510,I Sharma,2017-2017,6,3,1,8,5*,4.00,66.66,-,-,-, Punjab Kings
511,JM Sharma,2022-2024,40,36,4,730,49*,22.81,151.13,-,-,2, Punjab Kings
512,MM Sharma,2016-2018,37,17,6,93,15,8.45,104.49,-,-,-, Punjab Kings
513,Shashank Singh,2024-2024,14,14,6,354,68*,44.25,164.65,-,2,2, Punjab Kings
514,Shivam Sharma,2014-2015,5,2,1,5,4,5.00,166.66,-,-,-, Punjab Kings
515,Shivam Singh,2024-2024,1,1,1,2,2*,0.00,66.66,-,-,-, Punjab Kings
516,MW Short,2023-2023,6,6,-,117,36,19.50,127.17,-,-,-, Punjab Kings
517,Sikandar Raza,2023-2024,9,9,2,182,57,26.00,133.82,-,1,-, Punjab Kings
518,VRV Singh,2008-2010,19,2,-,4,4,2.00,133.33,-,-,1, Punjab Kings
519,OF Smith,2022-2022,6,6,3,51,25*,17.00,115.90,-,-,1, Punjab Kings
520,RS Sodhi,2010-2010,3,1,1,4,4*,0.00,200.00,-,-,-, Punjab Kings
521,S Sohal,2008-2010,11,10,-,119,43,11.90,117.82,-,-,2, Punjab Kings
522,BB Sran,2018-2018,6,4,3,3,2,3.00,42.85,-,-,-, Punjab Kings
523,S Sreesanth,2008-2010,28,8,7,32,15*,32.00,76.19,-,-,1, Punjab Kings
524,SJ Srivastava,2010-2011,14,4,3,5,3*,5.00,100.00,-,-,1, Punjab Kings
525,TM Srivastava,2008-2009,7,3,2,8,7,8.00,72.72,-,-,-, Punjab Kings
526,MP Stoinis,2016-2018,19,15,4,262,52,23.81,125.96,-,1,1, Punjab Kings
527,Sunny Singh,2011-2011,6,5,1,43,20,10.75,138.70,-,-,-, Punjab Kings
528,Swapnil Singh,2016-2017,5,3,-,12,10,4.00,60.00,-,-,1, Punjab Kings
529,A Taide,2023-2024,9,9,-,247,66,27.44,147.02,-,2,1, Punjab Kings
530,R Tewatia,2017-2017,3,2,1,19,15*,19.00,172.72,-,-,-, Punjab Kings
531,SN Thakur,2015-2015,1,1,1,7,7*,0.00,116.66,-,-,-, Punjab Kings
532,J Theron,2010-2010,7,2,-,2,2,1.00,40.00,-,-,1, Punjab Kings
533,MK Tiwary,2018-2018,5,4,1,47,35,15.66,106.81,-,-,-, Punjab Kings
534,AJ Tye,2018-2019,20,9,3,32,14,5.33,80.00,-,-,2, Punjab Kings
535,PC Valthaty,2011-2013,21,21,1,499,120*,24.95,122.90,1,2,1, Punjab Kings
536,CV Varun,2019-2019,1,-,-,-,-,0.00,0.00,-,-,-, Punjab Kings
537,M Vijay,2015-2016,25,25,1,704,89,29.33,118.91,-,5,1, Punjab Kings
538,GC Viljoen,2019-2019,6,3,1,3,2*,1.50,42.85,-,-,1, Punjab Kings
539,M Vohra,2013-2017,45,41,2,957,95,24.53,132.73,-,3,2, Punjab Kings
540,Yuvraj Singh,2008-2018,51,48,5,959,58*,22.30,127.86,-,3,-, Punjab Kings
541,B Akhil,2011-2011,1,1,-,13,13,13.00,144.44,-,-,-, Kochi Tuskers Kerala
542,Y Gnaneswara Rao,2011-2011,2,1,-,19,19,19.00,111.76,-,-,-, Kochi Tuskers Kerala
543,RV Gomez,2011-2011,11,8,3,46,26*,9.20,92.00,-,-,3, Kochi Tuskers Kerala
544,BJ Hodge,2011-2011,14,14,6,285,51*,35.62,120.76,-,1,1, Kochi Tuskers Kerala
545,RA Jadeja,2011-2011,14,12,3,283,47,31.44,124.12,-,-,-, Kochi Tuskers Kerala
546,KM Jadhav,2011-2011,6,4,1,18,12,6.00,78.26,-,-,1, Kochi Tuskers Kerala
547,DPMD Jayawardene,2011-2011,13,13,-,299,76,23.00,116.34,-,3,-, Kochi Tuskers Kerala
548,M Klinger,2011-2011,4,4,-,73,29,18.25,94.80,-,-,-, Kochi Tuskers Kerala
549,VVS Laxman,2011-2011,3,3,-,44,36,14.66,104.76,-,-,1, Kochi Tuskers Kerala
550,BB McCullum,2011-2011,13,13,-,357,81,27.46,129.81,-,1,2, Kochi Tuskers Kerala
551,M Muralidaran,2011-2011,5,1,1,5,5*,0.00,62.50,-,-,-, Kochi Tuskers Kerala
552,P Parameswaran,2011-2011,5,1,1,1,1*,0.00,100.00,-,-,-, Kochi Tuskers Kerala
553,PA Patel,2011-2011,14,13,3,202,37*,20.20,110.38,-,-,2, Kochi Tuskers Kerala
554,NLTC Perera,2011-2011,4,2,-,23,22,11.50,85.18,-,-,-, Kochi Tuskers Kerala
555,RR Powar,2011-2011,5,3,2,11,8*,11.00,84.61,-,-,1, Kochi Tuskers Kerala
556,P Prasanth,2011-2011,1,-,-,-,-,0.00,0.00,-,-,-, Kochi Tuskers Kerala
557,OA Shah,2011-2011,3,2,-,26,23,13.00,173.33,-,-,-, Kochi Tuskers Kerala
558,RP Singh,2011-2011,14,5,2,2,1*,0.66,50.00,-,-,2, Kochi Tuskers Kerala
559,S Sreesanth,2011-2011,9,3,1,1,1,0.50,11.11,-,-,1, Kochi Tuskers Kerala
560,R Vinay Kumar,2011-2011,13,7,1,50,18,8.33,106.38,-,-,-, Kochi Tuskers Kerala
561,S Ladda,2011-2013,3,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
562,AB Agarkar,2008-2010,27,17,9,160,39,20.00,121.21,-,-,-, Kolkata Knight Riders
563,Aman Hakim Khan,2022-2022,1,1,-,5,5,5.00,166.66,-,-,-, Kolkata Knight Riders
