,Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,team_name
229,AB McDonald,2009-2011,6,6,114,-,183,5,2/37,36.60,9.63,22.8,-,-,-,-, Delhi Capitals
230,GD McGrath,2008-2008,14,14,324,2,357,12,4/29,29.75,6.61,27.0,-,-,2,-, Delhi Capitals
231,MF Maharoof,2008-2010,20,20,420,-,520,27,3/34,19.25,7.42,15.5,-,-,4,-, Delhi Capitals
232,VY Mahesh,2008-2010,13,13,283,-,418,18,4/36,23.22,8.86,15.7,-,-,5,-, Delhi Capitals
233,Mandeep Singh,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Delhi Capitals
234,M Manhas,2008-2010,20,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Delhi Capitals
235,MR Marsh,2022-2024,21,15,241,1,375,17,4/27,22.05,9.33,14.1,-,-,3,-, Delhi Capitals
236,AD Mathews,2015-2017,14,12,210,-,302,7,2/15,43.14,8.62,30.0,-,-,7,-, Delhi Capitals
237,GJ Maxwell,2012-2018,14,12,114,-,154,6,2/22,25.66,8.10,19.0,-,-,4,-, Delhi Capitals
238,BMAJ Mendis,2013-2013,3,2,30,-,36,1,1/16,36.00,7.20,30.0,-,-,2,-, Delhi Capitals
239,LI Meriwala,2021-2021,1,1,18,-,32,1,1/32,32.00,10.66,18.0,-,-,-,-, Delhi Capitals
240,A Mishra,2008-2021,99,99,2046,3,2507,106,5/17,23.65,7.35,19.3,1,-,16,-, Delhi Capitals
241,Mohammad Asif,2008-2008,8,8,192,-,296,8,2/19,37.00,9.25,24.0,-,-,1,-, Delhi Capitals
242,Mohammed Shami,2014-2018,32,32,654,-,1000,20,2/34,50.00,9.17,32.7,-,-,3,-, Delhi Capitals
243,JA Morkel,2015-2015,4,4,72,-,109,3,2/21,36.33,9.08,24.0,-,-,1,-, Delhi Capitals
244,M Morkel,2011-2013,37,37,876,1,1113,45,4/20,24.73,7.62,19.4,-,-,2,-, Delhi Capitals
245,CH Morris,2016-2019,34,34,732,-,997,41,4/26,24.31,8.17,17.8,-,-,19,-, Delhi Capitals
246,Mukesh Kumar,2023-2024,20,20,399,-,694,24,3/14,28.91,10.43,16.6,-,-,6,-, Delhi Capitals
247,C Munro,2018-2019,9,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Delhi Capitals
248,Mustafizur Rahman,2022-2023,10,10,234,-,323,9,3/18,35.88,8.28,26.0,-,-,1,-, Delhi Capitals
249,DJ Muthuswami,2015-2015,6,6,84,-,101,4,2/18,25.25,7.21,21.0,-,-,-,-, Delhi Capitals
250,S Nadeem,2011-2018,61,59,1205,2,1480,40,3/16,37.00,7.36,30.1,-,-,14,-, Delhi Capitals
251,Y Nagar,2009-2012,26,8,66,-,125,4,2/20,31.25,11.36,16.5,-,-,6,-, Delhi Capitals
252,KL Nagarkoti,2022-2022,1,1,12,-,29,-,-,0.00,14.50,-,-,-,-,-, Delhi Capitals
253,KK Nair,2016-2017,28,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Delhi Capitals
254,DP Nannes,2009-2010,22,22,502,-,596,22,3/27,27.09,7.12,22.8,-,-,5,-, Delhi Capitals
255,JDS Neesham,2014-2014,4,4,54,-,91,1,1/29,91.00,10.11,54.0,-,-,-,-, Delhi Capitals
256,P Negi,2012-2016,17,12,210,-,264,8,4/18,33.00,7.54,26.2,-,-,4,-, Delhi Capitals
257,A Nehra,2009-2013,27,27,606,1,758,36,3/26,21.05,7.50,16.8,-,-,6,-, Delhi Capitals
258,A Nortje,2020-2024,46,46,1054,1,1574,60,3/33,26.23,8.96,17.5,-,-,10,-, Delhi Capitals
259,NV Ojha,2011-2018,35,-,0,-,-,-,-,0.00,-,-,-,-,23,2, Delhi Capitals
260,MK Pandey,2023-2023,10,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Delhi Capitals
261,RR Pant,2016-2024,111,-,0,-,-,-,-,0.00,-,-,-,-,75,23, Delhi Capitals
262,WD Parnell,2014-2014,8,8,181,-,223,6,2/21,37.16,7.39,30.1,-,-,2,-, Delhi Capitals
263,AR Patel,2019-2024,82,81,1692,-,1993,62,3/21,32.14,7.06,27.2,-,-,47,-, Delhi Capitals
264,HV Patel,2018-2020,12,12,243,-,378,12,3/28,31.50,9.33,20.2,-,-,1,-, Delhi Capitals
265,RV Patel,2021-2023,9,1,18,-,22,-,-,0.00,7.33,-,-,-,2,-, Delhi Capitals
266,IK Pathan,2011-2013,46,45,943,7,1191,29,3/28,41.06,7.57,32.5,-,-,16,-, Delhi Capitals
267,KMA Paul,2019-2019,8,8,163,-,237,9,3/17,26.33,8.72,18.1,-,-,5,-, Delhi Capitals
268,KP Pietersen,2012-2014,19,3,36,-,53,-,-,0.00,8.83,-,-,-,5,-, Delhi Capitals
269,LE Plunkett,2018-2018,7,7,150,-,225,4,3/17,56.25,9.00,37.5,-,-,2,-, Delhi Capitals
270,R Powell,2022-2023,17,2,18,-,35,1,1/18,35.00,11.66,18.0,-,-,10,-, Delhi Capitals
271,K Rabada,2017-2021,50,50,1140,2,1560,76,4/21,20.52,8.21,15.0,-,-,23,-, Delhi Capitals
272,AM Rahane,2020-2021,11,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Delhi Capitals
273,Rasikh Salam,2024-2024,8,8,147,-,269,9,3/34,29.88,10.97,16.3,-,-,1,-, Delhi Capitals
274,JA Richardson,2024-2024,1,1,24,-,40,-,-,0.00,10.00,-,-,-,-,-, Delhi Capitals
275,BJ Rohrer,2013-2013,8,1,6,-,12,-,-,0.00,12.00,-,-,-,3,-, Delhi Capitals
276,RR Rossouw,2023-2023,9,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Delhi Capitals
277,JJ Roy,2018-2018,5,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Delhi Capitals
278,AD Russell,2012-2013,7,7,138,-,229,1,1/51,229.00,9.95,138.0,-,-,1,-, Delhi Capitals
279,SE Rutherford,2019-2019,7,6,41,-,59,1,1/6,59.00,8.63,41.0,-,-,5,-, Delhi Capitals
280,C Sakariya,2022-2023,5,5,114,-,173,6,2/23,28.83,9.10,19.0,-,-,2,-, Delhi Capitals
281,PD Salt,2023-2023,9,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Delhi Capitals
282,AM Salvi,2009-2011,7,7,150,-,200,7,2/19,28.57,8.00,21.4,-,-,2,-, Delhi Capitals
283,DR Sams,2020-2020,3,3,72,-,114,-,-,0.00,9.50,-,-,-,3,-, Delhi Capitals
284,SV Samson,2016-2017,28,-,0,-,-,-,-,0.00,-,-,-,-,7,1, Delhi Capitals
285,MN Samuels,2017-2017,5,2,18,-,34,-,-,0.00,11.33,-,-,-,1,-, Delhi Capitals
286,GS Sandhu,2015-2015,3,2,48,-,82,1,1/33,82.00,10.25,48.0,-,-,-,-, Delhi Capitals
287,PJ Sangwan,2008-2010,28,28,610,1,833,29,3/18,28.72,8.19,21.0,-,-,5,-, Delhi Capitals
288,V Sehwag,2008-2013,79,15,136,-,235,6,2/18,39.16,10.36,22.6,-,-,29,-, Delhi Capitals
289,TL Seifert,2022-2022,2,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Delhi Capitals
290,V Shankar,2018-2018,13,4,30,-,58,1,1/22,58.00,11.60,30.0,-,-,6,-, Delhi Capitals
291,I Sharma,2019-2024,34,34,678,3,943,34,3/34,27.73,8.34,19.9,-,-,3,-, Delhi Capitals
292,MM Sharma,2020-2020,1,1,24,-,45,1,1/45,45.00,11.25,24.0,-,-,-,-, Delhi Capitals
293,R Sharma,2014-2014,2,2,36,-,65,1,1/33,65.00,10.83,36.0,-,-,-,-, Delhi Capitals
294,PP Shaw,2018-2024,79,-,0,-,-,-,-,0.00,-,-,-,-,18,-, Delhi Capitals
295,Shoaib Malik,2008-2008,7,5,51,-,85,2,1/6,42.50,10.00,25.5,-,-,5,-, Delhi Capitals
296,LR Shukla,2014-2014,5,5,56,-,83,1,1/31,83.00,8.89,56.0,-,-,1,-, Delhi Capitals
297,R Shukla,2014-2014,3,3,54,-,98,2,1/13,49.00,10.88,27.0,-,-,1,-, Delhi Capitals
298,SPD Smith,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,9,-, Delhi Capitals
299,S Sriram,2011-2011,1,1,6,-,25,-,-,0.00,25.00,-,-,-,-,-, Delhi Capitals
300,MP Stoinis,2020-2021,27,21,245,-,400,15,3/26,26.66,9.79,16.3,-,-,5,-, Delhi Capitals
301,T Stubbs,2024-2024,14,2,12,-,15,3,2/11,5.00,7.50,4.0,-,-,7,-, Delhi Capitals
302,J Suchith,2019-2019,1,1,24,-,28,2,2/28,14.00,7.00,12.0,-,-,-,-, Delhi Capitals
303,Sumit Kumar,2024-2024,4,2,20,-,38,-,-,0.00,11.40,-,-,-,1,-, Delhi Capitals
304,AP Tare,2017-2017,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Delhi Capitals
305,LRPL Taylor,2012-2014,16,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Delhi Capitals
306,R Tewatia,2018-2019,13,11,170,-,215,8,3/18,26.87,7.58,21.2,-,-,8,-, Delhi Capitals
307,SN Thakur,2022-2022,14,14,290,1,473,15,4/36,31.53,9.78,19.3,-,-,7,-, Delhi Capitals
308,MK Tiwary,2008-2015,24,2,18,-,39,-,-,0.00,13.00,-,-,-,6,-, Delhi Capitals
309,SS Tiwary,2015-2015,7,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Delhi Capitals
310,JD Unadkat,2014-2015,10,10,205,-,300,9,3/32,33.33,8.78,22.7,-,-,-,-, Delhi Capitals
311,RE van der Merwe,2011-2013,10,10,215,1,223,10,3/20,22.30,6.22,21.5,-,-,3,-, Delhi Capitals
312,Y Venugopal Rao,2011-2013,25,4,24,-,52,-,-,0.00,13.00,-,-,-,4,-, Delhi Capitals
313,DL Vettori,2008-2010,12,12,257,-,332,11,3/15,30.18,7.75,23.3,-,-,4,-, Delhi Capitals
314,GH Vihari,2019-2019,2,1,6,-,9,-,-,0.00,9.00,-,-,-,-,-, Delhi Capitals
315,M Vijay,2014-2014,11,1,6,-,13,-,-,0.00,13.00,-,-,-,8,-, Delhi Capitals
316,MS Wade,2011-2011,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Delhi Capitals
317,DA Warner,2009-2024,89,-,0,-,-,-,-,0.00,-,-,-,-,40,-, Delhi Capitals
318,LB Williams,2024-2024,2,2,36,-,72,1,1/38,72.00,12.00,36.0,-,-,1,-, Delhi Capitals
319,CR Woakes,2021-2021,3,3,66,-,82,5,2/18,16.40,7.45,13.2,-,-,-,-, Delhi Capitals
320,J Yadav,2015-2017,10,10,180,-,196,4,1/8,49.00,6.53,45.0,-,-,2,-, Delhi Capitals
321,Lalit Yadav,2021-2024,27,19,288,-,425,10,2/11,42.50,8.85,28.8,-,-,16,-, Delhi Capitals
322,UT Yadav,2010-2013,47,46,965,2,1314,43,4/24,30.55,8.16,22.4,-,-,11,-, Delhi Capitals
323,Yuvraj Singh,2015-2015,14,6,54,-,72,1,1/14,72.00,8.00,54.0,-,-,2,-, Delhi Capitals
324,S Ladda,2016-2016,1,1,12,-,21,-,-,0.00,10.50,-,-,-,-,-, Gujarat Lions
325,AD Nath,2016-2017,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Gujarat Lions
326,SS Agarwal,2017-2017,1,1,24,-,42,1,1/42,42.00,10.50,24.0,-,-,1,-, Gujarat Lions
327,Ankit Soni,2017-2017,7,6,109,-,144,2,1/16,72.00,7.92,54.5,-,-,1,-, Gujarat Lions
328,Basil Thampi,2017-2017,12,12,268,-,424,11,3/29,38.54,9.49,24.3,-,-,2,-, Gujarat Lions
329,DJ Bravo,2016-2016,15,15,336,-,494,17,4/22,29.05,8.82,19.7,-,-,6,-, Gujarat Lions
330,ER Dwivedi,2016-2016,4,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Gujarat Lions
331,JP Faulkner,2016-2017,15,15,260,-,425,8,2/34,53.12,9.80,32.5,-,-,6,-, Gujarat Lions
332,AJ Finch,2016-2017,26,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Gujarat Lions
333,MS Gony,2017-2017,1,1,12,-,32,-,-,0.00,16.00,-,-,-,-,-, Gujarat Lions
334,Ishan Kishan,2016-2017,16,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Gujarat Lions
335,RA Jadeja,2016-2017,27,26,469,-,660,13,2/18,50.76,8.44,36.0,-,-,6,-, Gujarat Lions
336,SB Jakati,2016-2017,8,8,150,-,230,2,1/13,115.00,9.20,75.0,-,-,4,-, Gujarat Lions
337,KD Karthik,2016-2017,30,-,0,-,-,-,-,0.00,-,-,-,-,19,3, Gujarat Lions
338,S Kaushik,2016-2017,10,10,204,-,297,6,3/20,49.50,8.73,34.0,-,-,-,-, Gujarat Lions
339,DS Kulkarni,2016-2017,20,20,407,4,537,21,4/14,25.57,7.91,19.3,-,-,3,-, Gujarat Lions
340,P Kumar,2016-2017,22,22,408,2,552,15,2/19,36.80,8.11,27.2,-,-,2,-, Gujarat Lions
341,BB McCullum,2016-2017,27,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Gujarat Lions
342,MM Patel,2017-2017,2,2,42,-,57,1,1/35,57.00,8.14,42.0,-,-,-,-, Gujarat Lions
343,IK Pathan,2017-2017,1,1,12,-,26,-,-,0.00,13.00,-,-,-,-,-, Gujarat Lions
344,SK Raina,2016-2017,29,10,132,-,184,1,1/11,184.00,8.36,132.0,-,-,11,-, Gujarat Lions
345,JJ Roy,2017-2017,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Gujarat Lions
346,PJ Sangwan,2016-2017,7,7,132,-,230,5,2/38,46.00,10.45,26.4,-,-,1,-, Gujarat Lions
347,NB Singh,2017-2017,2,2,24,-,15,1,1/7,15.00,3.75,24.0,-,-,-,-, Gujarat Lions
348,DR Smith,2016-2017,24,17,186,-,301,10,4/8,30.10,9.70,18.6,-,-,10,-, Gujarat Lions
349,DW Steyn,2016-2016,1,1,12,-,17,-,-,0.00,8.50,-,-,-,-,-, Gujarat Lions
350,PV Tambe,2016-2016,7,7,96,-,143,5,2/12,28.60,8.93,19.2,-,-,1,-, Gujarat Lions
351,Tejas Baroka,2017-2017,1,1,21,-,33,-,-,0.00,9.42,-,-,-,-,-, Gujarat Lions
352,AJ Tye,2017-2017,6,6,126,-,141,12,5/17,11.75,6.71,10.5,1,-,-,-, Gujarat Lions
353,VR Aaron,2022-2022,2,2,30,-,52,2,2/45,26.00,10.40,15.0,-,-,-,-, Gujarat Titans
354,Azmatullah Omarzai,2024-2024,7,7,126,-,186,4,2/27,46.50,8.85,31.5,-,-,-,-, Gujarat Titans
355,LH Ferguson,2022-2022,13,13,286,-,427,12,4/28,35.58,8.95,23.8,-,-,2,-, Gujarat Titans
356,SH Johnson,2024-2024,5,5,96,-,151,4,2/25,37.75,9.43,24.0,-,-,2,-, Gujarat Titans
357,AS Joseph,2022-2023,16,16,324,-,489,14,2/27,34.92,9.05,23.1,-,-,3,-, Gujarat Titans
358,Kartik Tyagi,2024-2024,1,1,24,-,51,-,-,0.00,12.75,-,-,-,-,-, Gujarat Titans
359,JB Little,2023-2024,11,11,228,-,339,11,4/45,30.81,8.92,20.7,-,-,5,-, Gujarat Titans
360,A Manohar,2022-2024,19,-,0,-,-,-,-,0.00,-,-,-,-,9,-, Gujarat Titans
361,DA Miller,2022-2024,41,-,0,-,-,-,-,0.00,-,-,-,-,22,-, Gujarat Titans
362,Mohammed Shami,2022-2023,33,33,756,2,1010,48,4/11,21.04,8.01,15.7,-,-,8,-, Gujarat Titans
363,DG Nalkande,2022-2024,6,6,84,-,148,6,2/21,24.66,10.57,14.0,-,-,2,-, Gujarat Titans
364,Noor Ahmad,2023-2024,23,23,492,-,659,24,3/37,27.45,8.03,20.5,-,-,7,-, Gujarat Titans
365,HH Pandya,2022-2023,31,21,333,-,450,11,3/17,40.90,8.10,30.2,-,-,12,-, Gujarat Titans
366,Rashid Khan,2022-2024,45,45,1047,-,1340,56,4/24,23.92,7.67,18.6,-,-,23,-, Gujarat Titans
367,WP Saha,2022-2024,37,-,0,-,-,-,-,0.00,-,-,-,-,25,6, Gujarat Titans
368,B Sai Sudharsan,2022-2024,25,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Gujarat Titans
369,R Sai Kishore,2022-2024,10,10,186,-,258,13,4/33,19.84,8.32,14.3,-,-,5,-, Gujarat Titans
370,S Sandeep Warrier,2024-2024,5,5,66,-,119,6,3/15,19.83,10.81,11.0,-,-,-,-, Gujarat Titans
371,PJ Sangwan,2022-2022,3,3,54,-,65,3,2/19,21.66,7.22,18.0,-,-,1,-, Gujarat Titans
372,M Shahrukh Khan,2024-2024,7,2,12,-,15,-,-,0.00,7.50,-,-,-,6,-, Gujarat Titans
373,MD Shanaka,2023-2023,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Gujarat Titans
374,V Shankar,2022-2024,25,2,9,-,15,-,-,0.00,10.00,-,-,-,8,-, Gujarat Titans
375,BR Sharath,2024-2024,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Gujarat Titans
376,MM Sharma,2023-2024,26,25,499,-,786,40,5/10,19.65,9.45,12.4,1,-,10,-, Gujarat Titans
377,Shubman Gill,2022-2024,45,-,0,-,-,-,-,0.00,-,-,-,-,14,-, Gujarat Titans
378,MJ Suthar,2024-2024,1,1,12,-,26,-,-,0.00,13.00,-,-,-,-,-, Gujarat Titans
379,R Tewatia,2022-2024,45,7,49,-,91,-,-,0.00,11.14,-,-,-,19,-, Gujarat Titans
380,MS Wade,2022-2024,12,-,0,-,-,-,-,0.00,-,-,-,-,8,1, Gujarat Titans
381,KS Williamson,2023-2024,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Gujarat Titans
382,J Yadav,2023-2023,1,1,24,-,26,-,-,0.00,6.50,-,-,-,1,-, Gujarat Titans
383,UT Yadav,2024-2024,7,7,126,-,210,8,2/22,26.25,10.00,15.7,-,-,1,-, Gujarat Titans
384,Yash Dayal,2022-2023,14,14,276,-,461,13,3/40,35.46,10.02,21.2,-,-,2,-, Gujarat Titans
385,VR Aaron,2017-2017,6,6,120,-,163,7,2/3,23.28,8.15,17.1,-,-,-,-, Punjab Kings
386,KJ Abbott,2016-2016,5,5,96,-,177,2,1/38,88.50,11.06,48.0,-,-,-,-, Punjab Kings
387,YA Abdulla,2009-2010,11,11,209,1,307,15,4/31,20.46,8.81,13.9,-,-,-,-, Punjab Kings
388,L Ablish,2010-2011,3,3,42,-,75,3,2/17,25.00,10.71,14.0,-,-,-,-, Punjab Kings
389,AD Nath,2018-2018,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Punjab Kings
390,MA Agarwal,2018-2022,60,-,0,-,-,-,-,0.00,-,-,-,-,30,-, Punjab Kings
391,FA Allen,2021-2021,4,3,66,1,90,1,1/22,90.00,8.18,66.0,-,-,2,-, Punjab Kings
392,HM Amla,2016-2017,16,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Punjab Kings
393,Anureet Singh,2015-2017,17,17,358,-,534,15,3/23,35.60,8.94,23.8,-,-,4,-, Punjab Kings
394,VG Arora,2022-2022,5,5,107,-,164,3,2/21,54.66,9.19,35.6,-,-,1,-, Punjab Kings
395,Arshdeep Singh,2019-2024,65,65,1364,1,2052,76,5/32,27.00,9.02,17.9,1,-,12,-, Punjab Kings
396,M Ashwin,2019-2021,22,22,459,-,587,16,3/21,36.68,7.67,28.6,-,-,7,-, Punjab Kings
397,R Ashwin,2018-2019,28,28,634,-,810,25,3/23,32.40,7.66,25.3,-,-,9,-, Punjab Kings
398,P Awana,2012-2014,33,33,747,2,1029,39,4/34,26.38,8.26,19.1,-,-,4,-, Punjab Kings
399,Azhar Mahmood,2012-2013,22,22,519,-,659,29,3/20,22.72,7.61,17.8,-,-,8,-, Punjab Kings
400,GJ Bailey,2014-2015,30,-,0,-,-,-,-,0.00,-,-,-,-,9,-, Punjab Kings
401,JM Bairstow,2022-2024,22,-,0,-,-,-,-,0.00,-,-,-,-,10,-, Punjab Kings
402,L Balaji,2014-2014,9,9,204,-,299,12,4/13,24.91,8.79,17.0,-,-,-,-, Punjab Kings
403,AB Barath,2010-2010,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Punjab Kings
404,RA Bawa,2022-2022,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Punjab Kings
405,F Behardien,2016-2016,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Punjab Kings
406,BA Bhatt,2011-2013,17,15,296,-,397,12,4/22,33.08,8.04,24.6,-,-,1,-, Punjab Kings
407,Bipul Sharma,2010-2013,15,12,202,-,272,8,2/32,34.00,8.07,25.2,-,-,4,-, Punjab Kings
408,MS Bisla,2010-2010,10,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Punjab Kings
409,RS Bopara,2009-2010,15,7,86,-,132,5,3/31,26.40,9.20,17.2,-,-,5,-, Punjab Kings
410,RR Bose,2009-2009,1,1,12,-,24,-,-,0.00,12.00,-,-,-,-,-, Punjab Kings
411,KC Cariappa,2016-2017,9,9,192,-,286,7,2/16,40.85,8.93,27.4,-,-,3,-, Punjab Kings
412,RD Chahar,2022-2024,36,36,764,1,1024,32,3/23,32.00,8.04,23.8,-,-,12,-, Punjab Kings
413,PP Chawla,2008-2013,87,87,1784,2,2237,84,4/17,26.63,7.52,21.2,-,-,22,-, Punjab Kings
414,SD Chitnis,2011-2012,7,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Punjab Kings
415,SS Cottrell,2020-2020,6,6,120,1,176,6,2/17,29.33,8.80,20.0,-,-,-,-, Punjab Kings
416,SM Curran,2019-2024,36,36,731,-,1228,36,4/11,34.11,10.07,20.3,-,-,14,-, Punjab Kings
417,P Dharmani,2008-2008,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Punjab Kings
418,R Dhawan,2014-2024,33,31,572,-,782,23,2/14,34.00,8.20,24.8,-,-,6,-, Punjab Kings
419,S Dhawan,2022-2024,30,-,0,-,-,-,-,0.00,-,-,-,-,17,-, Punjab Kings
420,P Dogra,2012-2012,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Punjab Kings
421,NT Ellis,2021-2024,16,16,354,-,508,18,4/30,28.22,8.61,19.6,-,-,2,-, Punjab Kings
422,JP Faulkner,2012-2012,2,2,48,-,72,3,2/41,24.00,9.00,16.0,-,-,1,-, Punjab Kings
423,AJ Finch,2018-2018,10,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Punjab Kings
424,Gagandeep Singh,2008-2008,4,4,84,-,141,3,1/33,47.00,10.07,28.0,-,-,-,-, Punjab Kings
425,CH Gayle,2018-2021,41,1,5,-,5,-,-,0.00,6.00,-,-,-,6,-, Punjab Kings
426,AC Gilchrist,2011-2013,34,1,1,-,-,1,1/0,0.00,0.00,1.0,-,-,26,3, Punjab Kings
427,K Goel,2008-2010,22,6,66,-,93,-,-,0.00,8.45,-,-,-,9,-, Punjab Kings
428,MS Gony,2013-2013,8,8,168,-,256,7,2/24,36.57,9.14,24.0,-,-,-,-, Punjab Kings
429,K Gowtham,2020-2020,2,2,48,-,84,1,1/45,84.00,10.50,48.0,-,-,-,-, Punjab Kings
430,MJ Guptill,2017-2017,7,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Punjab Kings
431,Gurkeerat Singh,2012-2017,30,6,78,-,97,5,2/15,19.40,7.46,15.6,-,-,13,1, Punjab Kings
432,Gurnoor Brar,2023-2023,1,1,18,-,42,-,-,0.00,14.00,-,-,-,-,-, Punjab Kings
433,Harmeet Singh,2012-2013,10,10,202,-,278,12,3/24,23.16,8.25,16.8,-,-,2,-, Punjab Kings
434,Harpreet Brar,2019-2024,41,39,679,1,895,25,4/30,35.80,7.90,27.1,-,-,14,-, Punjab Kings
435,Harpreet Singh,2023-2024,5,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Punjab Kings
436,RJ Harris,2011-2013,21,21,462,1,584,25,4/34,23.36,7.58,18.4,-,-,10,-, Punjab Kings
437,BE Hendricks,2014-2015,7,7,150,-,235,9,3/36,26.11,9.40,16.6,-,-,3,-, Punjab Kings
438,MC Henriques,2021-2021,5,5,60,-,45,4,3/12,11.25,4.50,15.0,-,-,1,-, Punjab Kings
439,MJ Henry,2017-2017,2,2,30,-,71,1,1/31,71.00,14.20,30.0,-,-,-,-, Punjab Kings
440,DJ Hooda,2020-2021,19,8,102,-,145,2,1/15,72.50,8.52,51.0,-,-,10,-, Punjab Kings
441,JR Hopes,2008-2008,11,11,168,-,276,7,2/2,39.42,9.85,24.0,-,-,3,-, Punjab Kings
442,DJ Hussey,2011-2013,36,12,138,-,192,4,2/2,48.00,8.34,34.5,-,-,14,-, Punjab Kings
443,DPMD Jayawardene,2008-2010,36,-,0,-,-,-,-,0.00,-,-,-,-,16,-, Punjab Kings
444,MG Johnson,2014-2016,26,26,602,1,886,28,2/19,31.64,8.83,21.5,-,-,5,-, Punjab Kings
445,CJ Jordan,2020-2021,13,13,261,-,400,13,3/17,30.76,9.19,20.0,-,-,5,-, Punjab Kings
446,M Kaif,2010-2010,4,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Punjab Kings
447,Karanveer Singh,2014-2015,9,9,204,-,321,12,4/54,26.75,9.44,17.0,-,-,2,-, Punjab Kings
448,KD Karthik,2011-2011,14,-,0,-,-,-,-,0.00,-,-,-,-,7,-, Punjab Kings
449,M Kartik,2014-2014,2,2,48,-,91,1,1/51,91.00,11.37,48.0,-,-,1,-, Punjab Kings
450,SM Katich,2008-2009,11,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Punjab Kings
451,U Kaul,2008-2008,5,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Punjab Kings
452,V Kaverappa,2024-2024,1,1,24,-,36,2,2/36,18.00,9.00,12.0,-,-,-,-, Punjab Kings
453,SN Khan,2019-2021,15,1,2,-,6,-,-,0.00,18.00,-,-,-,4,-, Punjab Kings
454,T Kohli,2009-2009,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Punjab Kings
455,P Kumar,2011-2013,44,44,992,10,1152,31,2/10,37.16,6.96,32.0,-,-,4,-, Punjab Kings
456,B Lee,2008-2010,13,13,303,1,372,9,3/15,41.33,7.36,33.6,-,-,6,-, Punjab Kings
457,LS Livingstone,2022-2024,30,21,252,-,380,11,3/27,34.54,9.04,22.9,-,-,11,-, Punjab Kings
458,R McLaren,2011-2011,6,6,108,-,178,5,2/33,35.60,9.88,21.6,-,-,2,-, Punjab Kings
459,DJ Malan,2021-2021,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Punjab Kings
460,VS Malik,2009-2011,9,9,127,-,173,3,1/12,57.66,8.17,42.3,-,-,1,-, Punjab Kings
461,Mandeep Singh,2011-2021,62,2,12,-,26,-,-,0.00,13.00,-,-,-,19,-, Punjab Kings
462,PN Mankad,2022-2022,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Punjab Kings
463,AK Markram,2021-2021,6,2,24,-,23,-,-,0.00,5.75,-,-,-,3,-, Punjab Kings
464,SE Marsh,2008-2017,71,-,0,-,-,-,-,0.00,-,-,-,-,26,-, Punjab Kings
465,AD Mascarenhas,2012-2013,5,5,120,-,130,7,5/25,18.57,6.50,17.1,1,-,2,-, Punjab Kings
466,GJ Maxwell,2014-2020,65,36,420,-,603,13,2/15,46.38,8.61,32.3,-,-,25,-, Punjab Kings
467,RP Meredith,2021-2021,5,5,102,-,169,4,1/29,42.25,9.94,25.5,-,-,-,-, Punjab Kings
468,DA Miller,2012-2019,79,-,0,-,-,-,-,0.00,-,-,-,-,49,-, Punjab Kings
