,Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,team_name
52,VY Mahesh,2012-2012,5,4,56,-,81,3,2/21,27.00,8.67,18.6,-,-,1,-, Chennai Super Kings
53,M Manhas,2014-2014,12,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Chennai Super Kings
54,AF Milne,2022-2022,1,1,15,-,19,-,-,0.00,7.60,-,-,-,-,-, Chennai Super Kings
55,DJ Mitchell,2024-2024,13,2,36,-,70,1,1/18,70.00,11.66,36.0,-,-,9,-, Chennai Super Kings
56,Monu Kumar,2020-2020,1,1,12,-,20,-,-,0.00,10.00,-,-,-,-,-, Chennai Super Kings
57,RG More,2015-2015,2,2,35,-,59,1,1/31,59.00,10.11,35.0,-,-,1,-, Chennai Super Kings
58,JA Morkel,2008-2013,78,75,1525,3,2054,76,4/32,27.02,8.08,20.0,-,-,15,-, Chennai Super Kings
59,CH Morris,2013-2013,16,16,300,-,401,15,3/40,26.73,8.02,20.0,-,-,5,-, Chennai Super Kings
60,Mukesh Choudhary,2022-2024,14,14,279,-,451,16,4/46,28.18,9.69,17.4,-,-,3,-, Chennai Super Kings
61,A Mukund,2008-2008,2,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Chennai Super Kings
62,M Muralidaran,2008-2010,40,40,936,1,994,40,3/11,24.85,6.37,23.4,-,-,11,-, Chennai Super Kings
63,Mustafizur Rahman,2024-2024,9,9,206,1,318,14,4/29,22.71,9.26,14.7,-,-,1,-, Chennai Super Kings
64,DP Nannes,2013-2013,5,5,119,-,158,4,2/17,39.50,7.96,29.7,-,-,3,-, Chennai Super Kings
65,P Negi,2014-2015,12,12,222,-,327,6,2/25,54.50,8.83,37.0,-,-,5,-, Chennai Super Kings
66,A Nehra,2014-2015,20,20,462,-,591,30,4/10,19.70,7.67,15.4,-,-,3,-, Chennai Super Kings
67,L Ngidi,2018-2021,14,14,324,2,448,25,4/10,17.92,8.29,12.9,-,-,2,-, Chennai Super Kings
68,M Ntini,2008-2008,9,9,210,2,242,7,4/21,34.57,6.91,30.0,-,-,1,-, Chennai Super Kings
69,JDP Oram,2008-2009,15,11,189,-,282,8,3/32,35.25,8.95,23.6,-,-,8,-, Chennai Super Kings
70,IC Pandey,2014-2015,23,22,438,4,541,17,2/23,31.82,7.41,25.7,-,-,6,-, Chennai Super Kings
71,PA Patel,2008-2010,26,-,0,-,-,-,-,0.00,-,-,-,-,9,2, Chennai Super Kings
72,M Pathirana,2022-2024,20,20,451,-,592,34,4/28,17.41,7.87,13.2,-,-,6,-, Chennai Super Kings
73,NLTC Perera,2010-2010,1,1,6,-,19,-,-,0.00,19.00,-,-,-,-,-, Chennai Super Kings
74,D Pretorius,2022-2023,7,7,150,-,238,6,2/30,39.66,9.52,25.0,-,-,3,-, Chennai Super Kings
75,AM Rahane,2023-2024,27,-,0,-,-,-,-,0.00,-,-,-,-,9,-, Chennai Super Kings
76,SK Raina,2008-2021,176,59,776,-,934,24,2/0,38.91,7.22,32.3,-,-,98,-, Chennai Super Kings
77,AS Rajpoot,2013-2013,2,2,24,-,35,1,1/25,35.00,8.75,24.0,-,-,-,-, Chennai Super Kings
